Order,Level,Code,Parent,Code_comm,Parent,Description_complex,Description
1655871,3,251200000080,250021000090,2512,25,"Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less","Siliceous fossil meals, e.g. kieselguhr, tripolite and diatomite, and similar siliceous earths, whether or not calcined, of an apparent specific gravity of <= 1"
1655872,3,251300000080,250021000090,25.13,25,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated","Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated"
1655873,4,251310000080,251300000080,2513.1,25.13,- Pumice stone,Pumice stone
1655874,4,251320000080,251300000080,2513.2,25.13,"- Emery, natural corundum, natural garnet and other natural abrasives","Emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated"
1655875,3,251400000080,250021000090,2514,25,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape","Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape; slate powder and slate refuse"
1655876,3,251500000080,250021000090,25.15,25,"Marble, travertine, ecaussine and other calcareous monumental or building stone of an apparent specific gravity of 2,5 or more, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape","Marble, travertine, ecaussine and other calcareous monumental or building stone of an apparent specific gravity of >= 2,5, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. in the form of granules, chippings or powder)"
1655877,4,251511000010,251500000080,,25.15,- Marble and travertine,
1655878,5,251511000080,251511000010,2515.11,,-- Crude or roughly trimmed,"Marble and travertine, crude or roughly trimmed"
1655879,5,251512000080,251511000010,2515.12,,"-- Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape","Marble and travertine, merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape"
1655880,4,251520000080,251500000080,2515.2,25.15,- Ecaussine and other calcareous monumental or building stone; alabaster,"Ecaussine and other calcareous monumental or building stone of an apparent specific gravity of >= 2,5, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. in the form of granules, chippings or powder, and marble and travertine)"
1655881,3,251600000080,250021000090,25.16,25,"Granite, porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape","Granite, porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. in the form of granules, chippings or powder, or already with the characteristics of setts, curbstones and flagstones, and monumental or building stone of an apparent specific gravity of >= 2,5)"
1655882,4,251611000010,251600000080,,25.16,- Granite,
1655883,5,251611000080,251611000010,2516.11,,-- Crude or roughly trimmed,"Granite, crude or roughly trimmed (excl. already with the characteristics of setts, curbstones and flagstones)"
1655884,5,251612000080,251611000010,2516.12,,"-- Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape","Granite, merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. already with the characteristics of setts, curbstones and flagstones)"
1655885,4,251620000080,251600000080,2516.2,25.16,- Sandstone,"Sandstone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. already with the characteristics of setts, curbstones and flagstones)"
1655886,4,251690000080,251600000080,2516.9,25.16,- Other monumental or building stone,"Porphyry, basalt and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. in the form of granules, chippings or powder, or already with the characteristics of setts, curbstones and flagstones, monumental or building stone of an apparent specific gravity of >= 2,5, granite and sandstone)"
1655887,3,251700000080,250021000090,25.17,25,"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 or 2516, whether or not heat-treated","Pebbles, gravel, broken or crushed stone, for concrete aggregates, for road metalling or for railway ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 and 2516, whether or not heat-treated"
1655888,4,251710000080,251700000080,2517.1,25.17,"- Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated","Pebbles, gravel, broken or crushed stone, for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated"
1655889,4,251720000080,251700000080,2517.2,25.17,"- Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in subheading 251710","Macadam of slag, dross or similar industrial waste, whether or not incorporating pebbles, gravel, shingle and flint for concrete aggregates, for road metalling or for railway or other ballast"
1655890,4,251730000080,251700000080,2517.3,25.17,- Tarred macadam,Tarred macadam
1655891,4,251741000010,251700000080,,25.17,"- Granules, chippings and powder, of stones of heading 2515 or 2516, whether or not heat-treated",
1655892,5,251741000080,251741000010,2517.41,,-- Of marble,"Marble granules, chippings and powder, whether or not heat-treated"
1655893,5,251749000080,251741000010,2517.49,,-- Other,"Granules, chippings and powder, whether or not heat-treated, of travertine, ecaussine, alabaster, basalt, granite, sandstone, porphyry, syenite, lava, gneiss, trachyte and other rocks of heading 2515 and 2516 (excl. marble)"
1655894,3,251800000080,250021000090,25.18,25,"Dolomite, whether or not calcined or sintered, including dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; dolomite ramming mix","Dolomite, whether or not calcined or sintered, incl. dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular ""incl. square"" shape, and dolomite ramming mix (excl. broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)"
1655895,4,251810000080,251800000080,2518.1,25.18,"- Dolomite, not calcined or sintered","Crude dolomite, not calcined or not sintered, incl. dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular ""incl. square"" shape (excl. broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)"
1655896,4,251820000080,251800000080,2518.2,25.18,- Calcined or sintered dolomite,"Calcined or sintered dolomite (excl. broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)"
1655897,4,251830000080,251800000080,2518.3,25.18,- Dolomite ramming mix,Dolomite ramming mix
1655898,3,251900000080,250021000090,25.19,25,"Natural magnesium carbonate (magnesite); fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide, whether or not pure","Natural magnesium carbonate ""magnesite""; fused magnesia; dead-burned ""sintered"" magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide, whether or not pure"
1655899,4,251910000080,251900000080,2519.1,25.19,- Natural magnesium carbonate (magnesite),"Natural magnesium carbonate ""magnesite"""
1655900,4,251990000080,251900000080,2519.9,25.19,- Other,"Fused magnesia; dead-burned ""sintered"" magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide (excl. natural magnesium carbonate ""magnesite"")"
1655901,3,252000000080,250021000090,25.2,25,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate) whether or not coloured, with or without small quantities of accelerators or retarders","Gypsum; anhydrite; plasters consisting of calcined gypsum or calcium sulphate, whether or not coloured, with or without small quantities of accelerators or retarders"
1655902,4,252010000080,252000000080,2520.1,25.2,- Gypsum; anhydrite,Gypsum; anhydrite
1655903,4,252020000080,252000000080,2520.2,25.2,- Plasters,"Plasters consisting of calcined gypsum or calcium sulphate, whether or not coloured, with or without small quantities of accelerators or retarders"
1655904,3,252100000080,250021000090,2521,25,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement","Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement"
1655905,3,252200000080,250021000090,25.22,25,"Quicklime, slaked lime and hydraulic lime, other than calcium oxide and hydroxide of heading 2825","Quicklime, slaked lime and hydraulic lime (excl. pure calcium oxide and calcium hydroxide)"
1655906,4,252210000080,252200000080,2522.1,25.22,- Quicklime,Quicklime
1655907,4,252220000080,252200000080,2522.2,25.22,- Slaked lime,Slaked lime
1655908,4,252230000080,252200000080,2522.3,25.22,- Hydraulic lime,Hydraulic lime (excl. pure calcium oxide and calcium hydroxide)
1655909,3,252300000080,250021000090,25.23,25,"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers","Cement, incl. cement clinkers, whether or not coloured"
1655910,4,252310000080,252300000080,2523.1,25.23,- Cement clinkers,Cement clinkers
1655911,4,252321000010,252300000080,,25.23,- Portland cement,
1655912,5,252321000080,252321000010,2523.21,,"-- White cement, whether or not artificially coloured","White portland cement, whether or not artificially coloured"
1655913,5,252329000080,252321000010,2523.29,,-- Other,"Portland cement (excl. white, whether or not artificially coloured)"
1655914,4,252330000080,252300000080,2523.3,25.23,- Aluminous cement,Aluminous cement
1655915,4,252390000080,252300000080,2523.9,25.23,- Other hydraulic cements,"Cement, whether or not coloured (excl. portland cement and aluminous cement)"
1655916,3,252400000080,250021000090,25.24,25,Asbestos,Asbestos (excl. products made from asbestos)
1655917,4,252410000080,252400000080,2524.1,25.24,- Crocidolite,Crocidolite asbestos (excl. products made from crocidolite)
1655918,4,252490000080,252400000080,2524.9,25.24,- Other,Asbestos (excl. crocidolite and products made from asbestos)
1655919,3,252500000080,250021000090,25.25,25,"Mica, including splittings; mica waste","Mica, whether or not rifted into sheets or splittings; mica waste"
1655920,4,252510000080,252500000080,2525.1,25.25,- Crude mica and mica rifted into sheets or splittings,Crude mica and mica rifted into sheets or splittings
1655921,4,252520000080,252500000080,2525.2,25.25,- Mica powder,Mica powder
1655922,4,252530000080,252500000080,2525.3,25.25,- Mica waste,Mica waste
1655923,3,252600000080,250021000090,25.26,25,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc","Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape; talc"
1655924,4,252610000080,252600000080,2526.1,25.26,"- Not crushed, not powdered","Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape, and talc, uncrushed or unpowdered"
1655925,4,252620000080,252600000080,2526.2,25.26,- Crushed or powdered,"Natural steatite and talc, crushed or powdered"
1655926,3,252800000080,250021000090,2528,25,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight","Borates, natural, and concentrates thereof, whether or not calcined, and natural boric acids containing <= 85% of H3BO3 calculated on the dry weight (excl. borates separated from natural brine)"
1655927,3,252900000080,250021000090,25.29,25,Feldspar; leucite; nepheline and nepheline syenite; fluorspar,"Feldspar; leucite, nepheline and nepheline syenite; fluorspar"
1655928,4,252910000080,252900000080,2529.1,25.29,- Feldspar,Feldspar
1655929,4,252921000010,252900000080,,25.29,- Fluorspar,
1655930,5,252921000080,252921000010,2529.21,,-- Containing by weight 97 % or less of calcium fluoride,Fluorspar containing by weight <= 97% calcium fluoride
1655931,5,252922000080,252921000010,2529.22,,-- Containing by weight more than 97 % of calcium fluoride,Fluorspar containing by weight > 97% calcium fluoride
1655932,4,252930000080,252900000080,2529.3,25.29,- Leucite; nepheline and nepheline syenite,"Leucite, nepheline and nepheline syenite"
1655933,3,253000000080,250021000090,25.3,25,Mineral substances not elsewhere specified or included,"Vermiculite, perlite and other mineral substances, n.e.s."
1655934,4,253010000080,253000000080,2530.1,25.3,"- Vermiculite, perlite and chlorites, unexpanded","Vermiculite, perlite and chlorites, unexpanded"
1655935,4,253020000080,253000000080,2530.2,25.3,"- Kieserite, epsomite (natural magnesium sulphates)","Kieserite and epsomite ""natural magnesium sulphates"""
1655936,4,253090000080,253000000080,2530.9,25.3,- Other,"Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances, n.e.s."
1655937,2,260021000090,250011000090,26,V,"CHAPTER 26 - ORES, SLAG AND ASH","ORES, SLAG AND ASH"
1655938,3,260100000080,260021000090,26.01,26,"Iron ores and concentrates, including roasted iron pyrites","Iron ores and concentrates, incl. roasted iron pyrites"
1655939,4,260111000010,260100000080,,26.01,"- Iron ores and concentrates, other than roasted iron pyrites",
1655940,5,260111000080,260111000010,2601.11,,-- Non-agglomerated,Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)
1655941,5,260112000080,260111000010,2601.12,,-- Agglomerated,Agglomerated iron ores and concentrates (excl. roasted iron pyrites)
1655942,4,260120000080,260100000080,2601.2,26.01,- Roasted iron pyrites,Roasted iron pyrites
1655943,3,260200000080,260021000090,2602,26,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight","Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a manganese content of >= 20%, calculated on the dry weight"
1655944,3,260300000080,260021000090,2603,26,Copper ores and concentrates,Copper ores and concentrates
1655945,3,260400000080,260021000090,2604,26,Nickel ores and concentrates,Nickel ores and concentrates
1655946,3,260500000080,260021000090,2605,26,Cobalt ores and concentrates,Cobalt ores and concentrates
1655947,3,260600000080,260021000090,2606,26,Aluminium ores and concentrates,Aluminium ores and concentrates
1655948,3,260700000080,260021000090,2607,26,Lead ores and concentrates,Lead ores and concentrates
1655949,3,260800000080,260021000090,2608,26,Zinc ores and concentrates,Zinc ores and concentrates
1655950,3,260900000080,260021000090,2609,26,Tin ores and concentrates,Tin ores and concentrates
1655951,3,261000000080,260021000090,2610,26,Chromium ores and concentrates,Chromium ores and concentrates
1655952,3,261100000080,260021000090,2611,26,Tungsten ores and concentrates,Tungsten ores and concentrates
1655953,3,261200000080,260021000090,26.12,26,Uranium or thorium ores and concentrates,Uranium or thorium ores and concentrates
1655954,4,261210000080,261200000080,2612.1,26.12,- Uranium ores and concentrates,Uranium ores and concentrates
1655955,4,261220000080,261200000080,2612.2,26.12,- Thorium ores and concentrates,Thorium ores and concentrates
1655956,3,261300000080,260021000090,26.13,26,Molybdenum ores and concentrates,Molybdenum ores and concentrates
1655957,4,261310000080,261300000080,2613.1,26.13,- Roasted,Roasted molybdenum ores and concentrates
1655958,4,261390000080,261300000080,2613.9,26.13,- Other,Molybdenum ores and concentrates (excl. roasted)
1655959,3,261400000080,260021000090,2614,26,Titanium ores and concentrates,Titanium ores and concentrates
1655960,3,261500000080,260021000090,26.15,26,"Niobium, tantalum, vanadium or zirconium ores and concentrates","Niobium, tantalum, vanadium or zirconium ores and concentrates"
1655961,4,261510000080,261500000080,2615.1,26.15,- Zirconium ores and concentrates,Zirconium ores and concentrates
1655962,4,261590000080,261500000080,2615.9,26.15,- Other,"Niobium, tantalum or vanadium ores and concentrates"
1655963,3,261600000080,260021000090,26.16,26,Precious-metal ores and concentrates,Precious-metal ores and concentrates
1655964,4,261610000080,261600000080,2616.1,26.16,- Silver ores and concentrates,Silver ores and concentrates
1655965,4,261690000080,261600000080,2616.9,26.16,- Other,Precious-metal ores and concentrates (excl. silver ores and oncentrates)
1655966,3,261700000080,260021000090,26.17,26,Other ores and concentrates,"Ores and concentrates (excl. iron, manganese, copper, nickel, cobalt, aluminium, lead, zinc, tin, chromium, tungsten, uranium, thorium, molybdenum, titanium, niobium, tantalum, vanadium, zirconium and precious-metal ores and concentrates)"
1655967,4,261710000080,261700000080,2617.1,26.17,- Antimony ores and concentrates,Antimony ores and concentrates
1655968,4,261790000080,261700000080,2617.9,26.17,- Other,"Ores and concentrates (excl. iron, manganese, copper, nickel, cobalt, aluminium, lead, zinc, tin, chromium, tungsten, uranium, thorium, molybdenum, titanium, niobium, tantalum, vanadium, zirconium, precious-metal or antimony ores and concentrates)"
1655969,3,261800000080,260021000090,2618,26,Granulated slag (slag sand) from the manufacture of iron or steel,"Granulated slag ""slag sand"" from the manufacture of iron or steel"
1655970,3,261900000080,260021000090,2619,26,"Slag, dross (other than granulated slag), scalings and other waste from the manufacture of iron or steel","Slag, dross, scalings and other waste from the manufacture of iron or steel (excl. granulated slag)"
1655971,3,262000000080,260021000090,26.2,26,"Slag, ash and residues (other than from the manufacture of iron or steel), containing metals, arsenic or their compounds","Slag, ash and residues containing metals, arsenic or their compounds (excl. those from the manufacture of iron or steel)"
1655972,4,262011000010,262000000080,,26.2,- Containing mainly zinc,
1655973,5,262011000080,262011000010,2620.11,,-- Hard zinc spelter,Hard zinc spelter
1655974,5,262019000080,262011000010,2620.19,,-- Other,"Slag, ash and residues containing mainly zinc (excl. hard zinc spelter)"
1655975,4,262021000010,262000000080,,26.2,- Containing mainly lead,
1655976,5,262021000080,262021000010,2620.21,,-- Leaded gasoline sludges and leaded anti-knock compound sludges,"Leaded gasoline sludges and leaded anti-knock compound sludges, obtained from storage tanks of leaded gasoline and leaded anti-knock compounds and containing mainly lead, lead compounds and iron oxide"
1655977,5,262029000080,262021000010,2620.29,,-- Other,"Slag, ash and residues containing mainly lead (excl. leaded gasoline sludges and leaded anti-knock compound sludges)"
1655978,4,262030000080,262000000080,2620.3,26.2,- Containing mainly copper,"Slag, ash and residues containing mainly copper"
1655979,4,262040000080,262000000080,2620.4,26.2,- Containing mainly aluminium,"Slag, as and residues containing mainly aluminium"
1655980,4,262060000080,262000000080,2620.6,26.2,"- Containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds","Slag, ash and residues, containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds (excl. those from the manufacture of iron or steel)"
1655981,4,262091000010,262000000080,,26.2,- Other,
1655982,5,262091000080,262091000010,2620.91,,"-- Containing antimony, beryllium, cadmium, chromium or their mixtures","Slag, ash and residues, containing antimony, beryllium, cadmium, chromium or their mixtures (excl. those from the manufacture of iron or steel)"
1655983,5,262099000080,262091000010,2620.99,,-- Other,"Slag, ash and residues, containing metals or metal compounds (excl. those from the manufacture of iron or steel, those containing primarily zinc, lead, copper or aluminium, those containing arsenic, mercury, thallium or their mixtures of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds and those containing antimony, beryllium, cadmium, chromium or their mixtures)"
1655984,3,262100000080,260021000090,26.21,26,"Other slag and ash, including seaweed ash (kelp); ash and residues from the incineration of municipal waste","Slag and ash, incl. seaweed ash ""kelp""; ash and residues from the incineration of municipal waste (excl. slag, incl. granulated, from the manufacture of iron or steel and ashes and residues containing arsenic, metals or metal compounds)"
1655985,4,262110000080,262100000080,2621.1,26.21,- Ash and residues from the incineration of municipal waste,Ash and residues from the incineration of municipal waste
1655986,4,262190000080,262100000080,2621.9,26.21,- Other,"Slag and ash, incl. seaweed ash ""kelp"" (excl. slag, incl. granulated, from the manufacture of iron or steel, ashes and residues containing arsenic, metals or metal compounds and those from the incineration of municipal waste)"
1655987,2,270021000090,250011000090,27,V,"CHAPTER 27 - MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES","MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES"
1655988,3,270100000080,270021000090,27.01,27,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal","Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
1655989,4,270111000010,270100000080,,27.01,"- Coal, whether or not pulverised, but not agglomerated",
1655990,5,270111000080,270111000010,2701.11,,-- Anthracite,"Anthracite, whether or not pulverised, non-agglomerated"
1655991,5,270112000080,270111000010,2701.12,,-- Bituminous coal,"Bituminous coal, whether or not pulverised, non-agglomerated"
1655992,5,270119000080,270111000010,2701.19,,-- Other coal,"Coal, whether or not pulverised, non-agglomerated (excl. anthracite and bituminous coal)"
1655993,4,270120000080,270100000080,2701.2,27.01,"- Briquettes, ovoids and similar solid fuels manufactured from coal","Briquettes, ovoids and similar solid fuels manufactured from coal"
1655994,3,270200000080,270021000090,27.02,27,"Lignite, whether or not agglomerated, excluding jet","Lignite, whether or not agglomerated (excl. jet)"
1655995,4,270210000080,270200000080,2702.1,27.02,"- Lignite, whether or not pulverised, but not agglomerated","Lignite, whether or not pulverised, non-agglomerated (excl. jet)"
1655996,4,270220000080,270200000080,2702.2,27.02,- Agglomerated lignite,Agglomerated lignite (excl. jet)
1655997,3,270300000080,270021000090,2703,27,"Peat (including peat litter), whether or not agglomerated","Peat, incl. peat litter, whether or not agglomerated"
1655998,3,270400000080,270021000090,2704,27,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon","Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon"
1655999,3,270500000080,270021000090,2705,27,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons","Coal gas, water gas, producer gas, lean gas and similar gases (excl. petroleum gases and other gaseous hydrocarbons)"
1656000,3,270600000080,270021000090,2706,27,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars","Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, incl. reconstituted tars"
1656001,3,270700000080,270021000090,27.07,27,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents
1656002,4,270710000080,270700000080,2707.1,27.07,- Benzol (benzene),"Benzol ""benzene"" containing > 50% of benzene (excl. chemically defined)"
1656003,4,270720000080,270700000080,2707.2,27.07,- Toluol (toluene),"Toluol ""toluene"" containing > 50% of toluene (excl. chemically defined)"
1656004,4,270730000080,270700000080,2707.3,27.07,- Xylol (xylenes),"Xylol ""xylenes"" containing > 50% of xylenes (excl. chemically defined)"
1656005,4,270740000080,270700000080,2707.4,27.07,- Naphthalene,Naphthalene containing > 50% of naphthalene (excl. chemically defined)
1656006,4,270750000080,270700000080,2707.5,27.07,- Other aromatic hydrocarbon mixtures of which 65 % or more by volume (including losses) distils at 250 °C by the ISO 3405 method (equivalent to the ASTM D 86 method),"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250°C by the ASTM D 86 method (excl. chemically defined compounds)"
1656007,4,270791000010,270700000080,,27.07,- Other,
1656008,5,270791000080,270791000010,2707.91,,-- Creosote oils,Creosote oils (excl. chemically defined)
1656009,5,270799000080,270791000010,2707.99,,-- Other,"Oils and other products of the distillation of high temperature coal tars; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents (excl. chemically-defined compounds, benzol ""benzene"", toluol ""toluene"", xylol ""xylenes"", naphthalene, aromatic hydrocarbon mixtures of subheading 2707.50, and creosote oils)"
1656010,3,270800000080,270021000090,27.08,27,"Pitch and pitch coke, obtained from coal tar or from other mineral tars","Pitch and pitch coke, obtained from coal tar or from other mineral tars"
1656011,4,270810000080,270800000080,2708.1,27.08,- Pitch,Pitch obtained from coal tar or from other mineral tars
1656012,4,270820000080,270800000080,2708.2,27.08,- Pitch coke,Pitch coke obtained from coal tar or from other mineral tars
1656013,3,270900000080,270021000090,2709,27,"Petroleum oils and oils obtained from bituminous minerals, crude","Petroleum oils and oils obtained from bituminous minerals, crude"
1656014,3,271000000080,270021000090,27.1,27,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils","Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous minerals"
1656015,4,271012000010,271000000080,,27.1,"- Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils",
1656016,5,271012000080,271012000010,2710.12,,-- Light oils and preparations,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)"
1656017,5,271019000080,271012000010,2710.19,,-- Other,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, n.e.s."
1656018,4,271020000080,271000000080,2710.2,27.1,"- Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, containing biodiesel, other than waste oils","Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations n.e.s. or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, containing biodiesel (excl. waste oils)"
1656019,4,271091000010,271000000080,,27.1,- Waste oils,
1656020,5,271091000080,271091000010,2710.91,,"-- Containing polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)","Waste oils containing polychlorinated biphenyls [PCBs], polychlorinated terphenyls [PCTs] or polybrominated biphenyls [PBBs]"
1656021,5,271099000080,271091000010,2710.99,,-- Other,"Waste oils containing mainly petroleum or bituminous minerals (excl. those containing polychlorinated biphenyls [PCBs], polychlorinated terphenyls [PCTs] or polybrominated biphenyls [PBBs])"
1656022,3,271100000080,270021000090,27.11,27,Petroleum gases and other gaseous hydrocarbons,Petroleum gas and other gaseous hydrocarbons
1656023,4,271111000010,271100000080,,27.11,- Liquefied,
1656024,5,271111000080,271111000010,2711.11,,-- Natural gas,"Natural gas, liquefied"
1656025,5,271112000080,271111000010,2711.12,,-- Propane,"Propane, liquefied"
1656026,5,271113000080,271111000010,2711.13,,-- Butanes,"Butanes, liquefied (excl. of a purity of >= 95% of N-butane or isobutane)"
1656027,5,271114000080,271111000010,2711.14,,"-- Ethylene, propylene, butylene and butadiene","Ethylene, propylene, butylene and butadiene, liquefied (excl. ethylene of a purity of >= 95% and propylene, butylene and butadiene of a purity of >= 90%)"
1656028,5,271119000080,271111000010,2711.19,,-- Other,"Gaseous hydrocarbons, liquefied, n.e.s. (excl. natural gas, propane, butane, ethylene, propylene, butylene and butadiene)"
1656029,4,271121000010,271100000080,,27.11,- In gaseous state,
1656030,5,271121000080,271121000010,2711.21,,-- Natural gas,Natural gas in gaseous state
1656031,5,271129000080,271121000010,2711.29,,-- Other,"Hydrocarbons in gaseous state, n.e.s. (excl. natural gas)"
1656032,3,271200000080,270021000090,27.12,27,"Petroleum jelly; paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured","Petroleum jelly, paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured"
1656033,4,271210000080,271200000080,2712.1,27.12,- Petroleum jelly,Petroleum jelly
1656034,4,271220000080,271200000080,2712.2,27.12,"- Paraffin wax containing by weight less than 0,75 % of oil","Paraffin wax containing < 0,75% by weight of oil"
1656035,4,271290000080,271200000080,2712.9,27.12,- Other,"Paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured (excl. petroleum jelly and paraffin wax containing < 0,75% by weight of oil)"
